simple = [
400 1.362775e+00 0.000000e+00 
500 1.394459e+00 0.000000e+00 
600 1.238607e+00 0.000000e+00 
700 9.001089e-01 0.000000e+00 
800 7.080723e-01 0.000000e+00 
900 6.368631e-01 0.000000e+00 
1000 5.096532e-01 0.000000e+00 
1100 1.648867e-01 0.000000e+00 
1200 1.065156e-01 0.000000e+00 
1300 1.193164e-01 0.000000e+00 
1400 1.290365e-01 0.000000e+00 
1500 1.270567e-01 0.000000e+00 
];
optimized = [
400 2.683438e+00 0.000000e+00 
500 2.687912e+00 0.000000e+00 
600 2.476269e+00 0.000000e+00 
700 2.538052e+00 0.000000e+00 
800 2.285010e+00 0.000000e+00 
900 2.506024e+00 0.000000e+00 
1000 2.441168e+00 0.000000e+00 
1100 2.443199e+00 0.000000e+00 
1200 1.065961e+00 0.000000e+00 
1300 2.557895e+00 0.000000e+00 
1400 2.558208e+00 0.000000e+00 
1500 2.444346e+00 0.000000e+00 
];
